post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score,notes
DRM_001,DRM Lebanon,state,Facebook,2026-05-06,2026-04-01 to 2026-05-06,,Arabic,no,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_002,DRM Lebanon,state,Facebook,2026-05-04,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_003,DRM Lebanon,state,Facebook,2026-04-30,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_004,DRM Lebanon,state,Facebook,2026-04-29,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_005,DRM Lebanon,state,Facebook,2026-04-28,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_006,DRM Lebanon,state,Facebook,2026-04-27,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_007,DRM Lebanon,state,Facebook,2026-04-24,2026-04-01 to 2026-05-06,,Arabic,yes,"Grand Serail, Ministry of Social Affairs",yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Co-tagged with Ministry of Social Affairs. Documents crisis conditions. No citizen instructions.
DRM_008,DRM Lebanon,state,Facebook,2026-04-23,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_009,DRM Lebanon,state,Facebook,2026-04-22,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_010,DRM Lebanon,state,Facebook,2026-04-21,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_011,DRM Lebanon,state,Facebook,2026-04-20,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_012,DRM Lebanon,state,Facebook,2026-04-17,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_013,DRM Lebanon,state,Facebook,2026-04-17,2026-04-01 to 2026-05-06,,Arabic,no,none,yes,public safety / unexploded ordnance,warning / alert,no,yes,no,yes,no,2,UXO warning. Clear instructions (do not approach / do not touch / report immediately). No location or contact channel provided.
DRM_014,DRM Lebanon,state,Facebook,2026-04-16,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
