post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score,notes
MoPH_001,Ministry of Public Health,state,Website,2026-04-01,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. Cumulative figures from March 2. No citizen instructions.
MoPH_002,Ministry of Public Health,state,Website,2026-04-01,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,no,none,yes,casualties / public health / hospitals,clarification statement,yes,no,no,yes,yes,3,Confirms specific airstrike location (Khaldeh south Beirut) and reassures that Al-Zahraa Hospital is not evacuating and still operational. Useful for people needing hospital services.
MoPH_003,Ministry of Public Health,state,Website,2026-04-02,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. No citizen instructions.
MoPH_004,Ministry of Public Health,state,Website,2026-04-03,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. No citizen instructions.
MoPH_005,Ministry of Public Health,state,Website,2026-04-04,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. No citizen instructions.
MoPH_006,Ministry of Public Health,state,Website,2026-04-05,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. No citizen instructions.
MoPH_007,Ministry of Public Health,state,Website,2026-04-06,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. No citizen instructions.
MoPH_008,Ministry of Public Health,state,Website,2026-04-06,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / emergency responders / conflict,incident report,yes,no,no,yes,no,2,Reports Israeli targeting of ambulance crews in Sidiqin (Tyre district). Location and time specified. No citizen instruction.
MoPH_009,Ministry of Public Health,state,Website,2026-04-06,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / emergency responders / conflict,incident report,yes,no,no,yes,no,2,Reports Israeli targeting of paramedics in Haris (Bint Jbeil). Location and time specified. No citizen instruction.
MoPH_010,Ministry of Public Health,state,Website,2026-04-07,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily toll report. No citizen instructions.
MoPH_011,Ministry of Public Health,state,Website,2026-04-08,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,public safety / emergency response / casualties,warning / alert,no,yes,no,yes,yes,3,Urges public to avoid crowds and prioritize access for rescue/ambulance services after major simultaneous strikes. Clear instruction addressed to citizens.
MoPH_012,Ministry of Public Health,state,Website,2026-04-09,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1,Cumulative report including breakdown by demographic. No citizen instructions.
