post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score,notes
LCD_001,Lebanese Civil Defense,state,Facebook,approx. 2026-05-07,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,emergency operations / displacement / humanitarian response,situation report,yes,yes,yes,yes,yes,5,Daily operations summary covering all Lebanese territory. 174 missions: firefighting / EMS / rescue / water supply to shelters. Ends with explicit citizen call to dial 125. All 5 actionability elements present.
LCD_002,Lebanese Civil Defense,state,Facebook,approx. 2026-05-06,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,institutional/ceremonial,yes,no,no,no,no,0,Ceremonial meeting with families of 5 martyred CD members killed by Israeli strikes. No practical guidance for citizens.
LCD_003,Lebanese Civil Defense,state,Facebook,approx. 2026-05-04,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,institutional notice,yes,no,no,yes,no,1,Death notice for CD member who died of natural causes on April 29. Date of death provided. Not an incident report. Crisis-adjacent: issued during active conflict period.
LCD_004,Lebanese Civil Defense,state,Facebook,approx. 2026-05-03,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,institutional/ceremonial,yes,no,no,yes,no,1,Funeral proceedings for 3 members martyred April 28 during Israeli airstrike rescue mission in Majdal Zoun. Date of martyrdom provided. Confirms ongoing strikes killing first responders.
LCD_005,Lebanese Civil Defense,state,Facebook,approx. 2026-05-01,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,incident report,yes,no,no,yes,no,1,Detailed obituary for 3 members martyred April 28 in Israeli strike on Majdal Zoun while rescuing civilians. Biographical profiles included. Date confirmed.
LCD_006,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,incident report,yes,no,no,no,no,1,Initial announcement of 3 CD members martyred during rescue mission in Majdal Zoun under Israeli airstrike. Truncated — brief breaking statement only. Location named.
LCD_007,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,situation report,yes,no,no,no,no,1,Breaking update: 3 CD members trapped under rubble during rescue in Majdal Zoun. Joint operation with Lebanese Army underway. Brief and truncated.
LCD_008,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,emergency operations / security,coordination update,yes,yes,yes,no,yes,3,Ministerial visit to operations room. Key operational data: 14000 missions total since war start / 3000 EMS / 350+ rescue from rubble / 63 new vehicles added. Ends with reminder to call 125. Location (CD HQ) implied. Target group (citizens) named.
LCD_009,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,emergency response / capacity building,coordination update,yes,no,no,no,no,1,Meeting with Mina/Tripoli municipality to establish marine rescue center. Crisis-era institutional capacity building. Location named.
LCD_010,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,emergency response / capacity building,coordination update,yes,no,no,no,no,1,Meeting about ambulance allocation for Borja center and equipment needs for Kharrub North region. Location named.
