post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,notes,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score
LEBA_001,Lebanese Army,government military,X,2026-04-01,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2039239625370112378,ar,no,#الجيش_اللبناني #LebaneseArmy,Israeli escalation forces army repositioning near southern border villages; warns against media incitement,yes,Israeli military aggression,situation report,southern border villages,no,no,no,no,1
LEBA_002,Lebanese Army,government military,X,2026-04-05,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2040751477195518318,ar,no,#الجيش_اللبناني #LebaneseArmy,Martyr obituary: Corporal Hussein Ali Nahle killed by Israeli airstrike in Kfarhatay-Sidon Apr 5; burial that day in Haret Saida cemetery,yes,Israeli military aggression / casualties,incident report,Kfarhatay-Sidon,no,no,yes,no,2
LEBA_003,Lebanese Army,government military,X,2026-04-06,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2041188456282398723,ar,no,#الجيش_اللبناني #LebaneseArmy,Israeli airstrike on apartment in Ain Saade-Metn: 3 civilians killed; army urges public not to speculate,yes,Israeli military aggression / casualties,incident report,Ain Saade-Metn,no,no,yes,no,2
LEBA_004,Lebanese Army,government military,X,2026-04-07,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2041456439919616059,ar,no,#الجيش_اللبناني #LebaneseArmy,Follow-up: motorcyclist identified as delivery worker; army warns public against speculation on sensitive security matters,yes,Israeli military aggression,incident report,Ain Saade-Metn,do not spread speculation on security matters,no,no,general public,3
LEBA_005,Lebanese Army,government military,X,2026-04-08,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2041771206920093921,ar,no,#الجيش_اللبناني #LebaneseArmy,Ceasefire rumors: delay return to south; avoid Israeli-occupied areas; follow army guidance; report UXO to nearest army/security post,yes,displacement/return / UXO / Israeli military aggression,warning/alert,southern villages,delay return; avoid Israeli-held areas; follow army units; report UXO,nearest army or security forces post (أقرب مركز للجيش أو للقوى الأمنية),ceasefire period (pending implementation),returnees to south Lebanon,5
LEBA_006,Lebanese Army,government military,X,2026-04-08,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2041925254784614553,ar,no,#الجيش_اللبناني #LebaneseArmy,Army evacuates Qasmiye Bridge-Tyre following Israeli threat to target it,yes,Israeli military aggression / infrastructure,incident report,Qasmiye Bridge-Tyre,no,no,yes,no,2
LEBA_007,Lebanese Army,government military,X,2026-04-09,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2042174384526237968,ar,no,#الجيش_اللبناني #LebaneseArmy,Four martyrs from Apr 8 airstrikes with funeral schedules: Sidon; Shmstar-Baalbek (x2); Mansura-Hermel,yes,Israeli military aggression / casualties,incident report,Sidon / Shmstar-Baalbek / Mansura-Hermel,no,no,yes,families and mourners,3
LEBA_008,Lebanese Army,government military,X,2026-04-09,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2042210188384424166,ar,no,#الجيش_اللبناني #LebaneseArmy,Qasmiye Bridge-Tyre fully reopened after Apr 8 Israeli airstrike; army unit stationed at bridge perimeter,yes,infrastructure / Israeli military aggression,service announcement,Qasmiye Bridge-Tyre,bridge now fully open,no,yes,travelers / south Lebanon residents,4
LEBA_009,Lebanese Army,government military,X,2026-04-09,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2042242819184611601,ar,no,#الجيش_اللبناني #LebaneseArmy,Commander inspects South Litani sector HQ and 5th Infantry Brigade in Tyre; denounces Israeli attacks,yes,Israeli military aggression,coordination update,Tyre-Sour,no,no,no,no,1
LEBA_010,Lebanese Army,government military,X,2026-04-11,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2042917750004121759,ar,no,#الجيش_اللبناني #LebaneseArmy,Warns against protest movements threatening civil peace during Israeli aggression; calls on citizens to follow army guidance,yes,public safety / civil unrest,warning/alert,Lebanon (general),follow army unit guidance; do not engage in destabilizing actions,no,no,citizens considering protests,2
LEBA_011,Lebanese Army,government military,X,2026-04-12,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2043454444638290102,ar,no,#الجيش_اللبناني #LebaneseArmy,Martyr obituary: Muaween Abbas Hassan Qassem died Apr 12 from Apr 8 airstrike in Shmstar-Baalbek; funeral schedule Monday Apr 13,yes,Israeli military aggression / casualties,incident report,Shmstar-Baalbek / Mazraat al-Dhallil-Baalbek,no,no,yes,families and mourners,3
LEBA_012,Lebanese Army,government military,X,2026-04-16,2026-04-01 to 2026-05-07,https://x.com/LebarmyOfficial/status/2044779714011594886,ar,no,#الجيش_اللبناني #LebaneseArmy,Israeli airstrike destroys Qasmiye Bridge-Tyre Apr 16: 1 killed + 2 injured civilians + 1 soldier; army will assess and repair,yes,Israeli military aggression / infrastructure / casualties,incident report,Qasmiye Bridge-Tyre,no,no,yes,no,2
